vendor_sku,upc,category,name,price,weight,Volume ,VolumeUnit ,Height ,Length ,Width ,ingredients ,NutritionFacts ,Serving ,Kosher ,Halal ,Organic ,Vegeratian ,FatFree ,SugarFree ,NoMSG ,LowCarb ,HeatSensitive ,AllNatural ,NoPreservatives ,FairTrade
71050,689951710505,Flower Scented and Blended Black Teas ,Black Mango - Can ,$5.25,0.5,,,,,,"100% Organic Black Tea Leaves, Organic Calendula Flower Petals and Natural Mango Essence. ",,,Y ,N ,N ,Y ,Y ,Y ,Y ,,,Y ,Y ,N
71230,689951712301,Flower Scented and Blended Black Teas ,Blue Flower Earl Grey - Can ,$5.25,0.468,,,,,,"100% Organic Black Tea Leaves, 100% Organic Bergamot Essence, 100% Organic Cornflowers. ",,,Y ,N ,Y ,Y ,Y ,Y ,Y ,,,Y ,Y ,N
71140,689951711403,Flower Scented and Blended Black Teas ,Earl Grey - Can ,$4.75,0.468,,,,,,"100% Organic Black Tea Leaves, Natural Bergamot Essence. ",,,Y ,N ,Y ,Y ,Y ,Y ,Y ,,,Y ,Y ,N
71225,689951712257,Flower Scented and Blended Black Teas ,English Breakfast - Can ,$4.75,0.4688,,,,,,100% Organic Black Tea Leaves. ,,,Y ,N ,Y ,Y ,Y ,Y ,Y ,,,Y ,Y ,N
71060,689951710604,Flower Scented and Blended Black Teas ,Ginger Peach - Can ,$5.25,0.5,,,,,,"Black Tea Leaves, Natural Peach Essence, Organic Ginger, Calendula Petals. ",,,Y ,N ,N ,Y ,Y ,Y ,Y ,,,Y ,Y ,N
71040,689951710406,Flower Scented and Blended Black Teas ,Lychee - Can ,$5.25,0.5,,,,,,"Black Tea Leaves, Natural Lychee Essence. ",,,Y ,N ,N ,Y ,Y ,Y ,Y ,,,Y ,Y ,N
71130,689951711304,Flower Scented and Blended Black Teas ,Pear Ginger - Can ,$5.25,0.5,,,,,,"100% Organic Black Tea Leaves, Natural Pear Essence, Organic Calendula Petals. ",,,Y ,N ,N ,Y ,Y ,Y ,Y ,,,Y ,Y ,N
71010,689951710109,Flower Scented and Blended Black Teas ,Rose Petal Black - Can ,$5.25,0.5,,,,,,"Black Tea Leaves, Red Rose Petals, Natural Rose Essence. ",,,Y ,N ,N ,Y ,Y ,Y ,Y ,,,Y ,Y ,N
71235,689951712356,Flower Scented and Blended Black Teas ,Smoked Earl Grey - Can ,$4.75,0.468,,,,,,"100% Organic Black Tea Leaves, Natural Bergamot Essence ",,,Y ,N ,Y ,Y ,Y ,Y ,Y ,,,Y ,Y ,N
31010,689951310101,Flower Scented and Blended Green Teas ,Green Earl Grey - Can ,$6.25,0.5,,,,,,"Organic Green Tea Leaves, Natural Bergamot Essence. ",,,Y ,N ,Y ,Y ,Y ,Y ,Y ,,,Y ,Y ,N
31215,689951312150,Flower Scented and Blended Green Teas ,Jasmine - Can ,$5.50,0.468,,,,,,"100% Organic Green Tea Leaves, Organic Jasmine Flowers. ",,,Y ,N ,Y ,Y ,Y ,Y ,Y ,,,Y ,Y ,N
31070,689951310705,Flower Scented and Blended Green Teas ,Moroccan Mint - Can ,$5.50,0.4688,,,,,,"100% Organic Green Tea Leaves, 100% Organic Peppermint Leaves. ",,,Y ,N ,Y ,Y ,Y ,Y ,Y ,,,Y ,Y ,N
31060,689951310606,Hand Crafted Green Teas ,Jasmine Pearls - Can ,$10.50,0.5,,,,,,"Green Tea Leaves, Jasmine Flower Petals. ",,,Y ,N ,N ,Y ,Y ,Y ,Y ,,,Y ,Y ,N
91000,689951910004,Chai ,500 Mile Chai - Can ,$5.50,0.5,,,,,,"100% Organic Black Tea Leaves, 100% Organic Cinnamon, 100% Organic Dried Ginger, 100% Organic Cloves and 100% Organic Cardamom. ",,,Y ,N ,Y ,Y ,Y ,Y ,Y ,,,Y ,Y ,N
91020,689951910202,Chai ,Mate Chai - Can ,$5.50,0.4688,,,,,,"100% Organic Yerba Maté, 100% Organic Cardamom, 100% Organic Cloves, 100% Organic Cinnamon. ",,,Y ,N ,Y ,Y ,Y ,Y ,Y ,,,Y ,Y ,N
91010,689951910103,Chai ,Red Bush Chai - Can ,$5.50,0.5,,,,,,"100% Organic Rooibos Leaves, 100% Organic Cinnamon, 100% Organic Spearmint, 100% Organic Cloves and 100% Organic Cardamom. ",,,Y ,N ,Y ,Y ,Y ,Y ,Y ,,,Y ,Y ,N
81230,689951812308,Old Growth Teas ,2005 Banzhang Bing Cha - ea. ,$55.00,0.9,,,,,,Compressed Puer Tea Cake. ,,,Y ,N ,N ,Y ,Y ,Y ,Y ,,,Y ,Y ,N
